timestamp,orientation
2025-03-11 23:43:13.355,0.05
2025-03-11 23:43:13.888,0.07
2025-03-11 23:43:14.423,0.05
2025-03-11 23:43:14.954,0.07
2025-03-11 23:43:15.523,0.05
2025-03-11 23:43:16.059,0.07
2025-03-11 23:43:16.584,0.05
2025-03-11 23:43:17.151,0.07
2025-03-11 23:43:17.713,0.07
2025-03-11 23:43:18.219,0.06
2025-03-11 23:43:18.782,0.07
2025-03-11 23:43:19.317,0.08
2025-03-11 23:43:19.819,0.06
2025-03-11 23:43:20.349,0.05
2025-03-11 23:43:20.922,0.06
2025-03-11 23:43:21.451,0.05
2025-03-11 23:43:22.016,0.02
2025-03-11 23:43:22.583,0.01
2025-03-11 23:43:22.853,0.07
2025-03-11 23:43:23.082,0.12
2025-03-11 23:43:23.147,0.18
2025-03-11 23:43:23.483,0.11
2025-03-11 23:43:23.547,0.06
2025-03-11 23:43:23.681,0.11
2025-03-11 23:43:23.781,0.17
2025-03-11 23:43:23.913,0.21
2025-03-11 23:43:23.982,0.14
2025-03-11 23:43:24.047,0.11
2025-03-11 23:43:24.314,0.07
2025-03-11 23:43:24.815,0.08
2025-03-11 23:43:24.976,0.03
2025-03-11 23:43:25.313,0.06
2025-03-11 23:43:25.482,0.11
2025-03-11 23:43:25.548,0.07
2025-03-11 23:43:26.114,0.11
2025-03-11 23:43:26.246,0.06
2025-03-11 23:43:26.383,0.12
2025-03-11 23:43:26.650,0.16
2025-03-11 23:43:26.715,0.21
2025-03-11 23:43:27.085,0.24
2025-03-11 23:43:27.179,0.18
2025-03-11 23:43:27.277,0.13
2025-03-11 23:43:27.412,0.10
2025-03-11 23:43:27.579,0.14
2025-03-11 23:43:27.649,0.18
2025-03-11 23:43:27.811,0.21
2025-03-11 23:43:27.882,0.16
2025-03-11 23:43:27.980,0.13
2025-03-11 23:43:28.482,0.15
2025-03-11 23:43:28.547,0.09
2025-03-11 23:43:28.880,0.06
2025-03-11 23:43:28.946,0.11
2025-03-11 23:43:29.114,0.17
2025-03-11 23:43:29.213,0.21
2025-03-11 23:43:29.382,0.18
2025-03-11 23:43:29.581,0.14
2025-03-11 23:43:29.683,0.09
2025-03-11 23:43:29.783,0.05
2025-03-11 23:43:29.946,0.12
2025-03-11 23:43:30.277,0.06
2025-03-11 23:43:30.346,0.03
2025-03-11 23:43:30.881,0.03
