timestamp,orientation
2025-03-12 00:13:30.778,-0.22
2025-03-12 00:13:30.895,-0.17
2025-03-12 00:13:31.098,-0.10
2025-03-12 00:13:31.188,-0.06
2025-03-12 00:13:31.285,0.01
2025-03-12 00:13:31.421,0.12
2025-03-12 00:13:31.523,0.16
2025-03-12 00:13:31.754,0.24
2025-03-12 00:13:31.857,0.11
2025-03-12 00:13:32.089,0.18
2025-03-12 00:13:32.287,0.27
2025-03-12 00:13:32.353,0.22
2025-03-12 00:13:32.422,0.17
2025-03-12 00:13:32.524,0.10
2025-03-12 00:13:32.789,0.05
2025-03-12 00:13:32.854,0.01
2025-03-12 00:13:32.956,-0.03
2025-03-12 00:13:33.021,-0.08
2025-03-12 00:13:33.123,-0.12
2025-03-12 00:13:33.188,-0.08
2025-03-12 00:13:33.290,-0.02
2025-03-12 00:13:33.355,0.05
2025-03-12 00:13:33.457,0.12
2025-03-12 00:13:33.554,0.15
2025-03-12 00:13:33.790,0.11
2025-03-12 00:13:34.089,0.19
2025-03-12 00:13:34.193,0.24
2025-03-12 00:13:34.291,0.27
2025-03-12 00:13:34.552,0.21
2025-03-12 00:13:34.621,0.15
2025-03-12 00:13:34.724,0.11
2025-03-12 00:13:35.023,0.17
2025-03-12 00:13:35.222,0.20
2025-03-12 00:13:42.907,0.15
2025-03-12 00:13:42.986,0.11
2025-03-12 00:13:43.088,0.06
2025-03-12 00:13:43.186,0.03
2025-03-12 00:13:43.284,-0.02
2025-03-12 00:13:43.717,-0.05
2025-03-12 00:13:43.949,-0.01
2025-03-12 00:13:44.116,0.02
2025-03-12 00:13:44.219,0.13
2025-03-12 00:13:44.315,0.23
2025-03-12 00:13:44.382,0.34
2025-03-12 00:13:44.483,0.47
2025-03-12 00:13:44.548,0.61
2025-03-12 00:13:44.716,0.69
2025-03-12 00:13:44.946,0.64
2025-03-12 00:13:45.016,0.47
2025-03-12 00:13:45.117,0.27
2025-03-12 00:13:45.182,0.05
2025-03-12 00:13:45.284,-0.16
2025-03-12 00:13:45.412,-0.34
2025-03-12 00:13:45.481,-0.42
2025-03-12 00:13:45.550,-0.48
2025-03-12 00:13:45.817,-0.51
2025-03-12 00:13:46.115,-0.45
2025-03-12 00:13:46.216,-0.36
2025-03-12 00:13:46.281,-0.23
2025-03-12 00:13:46.383,-0.04
2025-03-12 00:13:46.448,0.17
2025-03-12 00:13:46.550,0.38
2025-03-12 00:13:46.614,0.54
2025-03-12 00:13:46.717,0.65
2025-03-12 00:13:46.781,0.71
2025-03-12 00:13:46.948,0.74
2025-03-12 00:13:47.148,0.68
2025-03-12 00:13:47.214,0.61
2025-03-12 00:13:47.316,0.55
2025-03-12 00:13:47.380,0.43
2025-03-12 00:13:47.483,0.31
2025-03-12 00:13:47.547,0.21
2025-03-12 00:13:47.650,0.09
2025-03-12 00:13:47.753,-0.03
2025-03-12 00:13:47.850,-0.08
2025-03-12 00:13:47.948,-0.12
2025-03-12 00:13:48.121,-0.06
2025-03-12 00:13:48.213,0.01
2025-03-12 00:13:48.279,0.07
2025-03-12 00:13:48.348,0.12
2025-03-12 00:13:48.450,0.15
2025-03-12 00:13:48.982,0.16
2025-03-12 00:13:49.347,0.13
2025-03-12 00:13:49.477,0.09
2025-03-12 00:13:49.615,0.04
2025-03-12 00:13:49.781,0.00
2025-03-12 00:13:49.947,-0.04
2025-03-12 00:13:50.113,-0.09
2025-03-12 00:13:50.549,-0.05
2025-03-12 00:13:51.146,-0.06
2025-03-12 00:13:51.715,-0.05
2025-03-12 00:13:52.050,0.02
2025-03-12 00:13:52.147,0.13
2025-03-12 00:13:52.213,0.20
2025-03-12 00:13:52.315,0.28
2025-03-12 00:13:52.418,0.35
2025-03-12 00:13:52.948,0.37
2025-03-12 00:13:53.056,0.42
2025-03-12 00:13:53.152,0.46
2025-03-12 00:13:53.347,0.50
2025-03-12 00:13:53.476,0.47
2025-03-12 00:13:53.544,0.41
2025-03-12 00:13:53.646,0.36
2025-03-12 00:13:53.711,0.33
2025-03-12 00:13:53.813,0.28
2025-03-12 00:13:53.980,0.21
2025-03-12 00:13:54.045,0.18
2025-03-12 00:13:54.146,0.13
2025-03-12 00:13:54.380,0.08
2025-03-12 00:13:54.579,0.11
2025-03-12 00:13:54.815,0.18
2025-03-12 00:13:54.911,0.22
2025-03-12 00:13:55.080,0.28
2025-03-12 00:13:55.644,0.25
2025-03-12 00:13:56.044,0.28
2025-03-12 00:13:56.577,0.24
2025-03-12 00:13:56.642,0.20
2025-03-12 00:13:57.183,0.17
2025-03-12 00:13:57.780,0.16
2025-03-12 00:13:58.310,0.20
2025-03-12 00:13:58.812,0.17
2025-03-12 00:13:59.347,0.17
2025-03-12 00:13:59.877,0.19
2025-03-12 00:14:00.482,0.18
2025-03-12 00:14:00.778,0.13
2025-03-12 00:14:00.879,0.10
2025-03-12 00:14:00.943,0.06
2025-03-12 00:14:01.045,0.03
2025-03-12 00:14:01.208,-0.01
2025-03-12 00:14:01.310,-0.04
2025-03-12 00:14:01.542,-0.08
2025-03-12 00:14:01.710,-0.12
2025-03-12 00:14:01.876,-0.16
2025-03-12 00:14:02.411,-0.15
2025-03-12 00:14:02.977,-0.16
2025-03-12 00:14:03.477,-0.21
2025-03-12 00:14:04.009,-0.18
2025-03-12 00:14:04.510,-0.19
2025-03-12 00:14:05.109,-0.14
2025-03-12 00:14:05.507,-0.19
2025-03-12 00:14:05.776,-0.24
2025-03-12 00:14:06.143,-0.27
2025-03-12 00:14:06.743,-0.26
2025-03-12 00:14:06.909,-0.13
2025-03-12 00:14:07.007,0.01
2025-03-12 00:14:07.072,0.18
2025-03-12 00:14:07.173,0.31
2025-03-12 00:14:07.239,0.50
2025-03-12 00:14:07.405,0.56
2025-03-12 00:14:07.906,0.53
2025-03-12 00:14:08.008,0.50
2025-03-12 00:14:08.175,0.47
2025-03-12 00:14:08.239,0.38
2025-03-12 00:14:08.342,0.29
2025-03-12 00:14:08.407,0.19
2025-03-12 00:14:08.507,0.02
2025-03-12 00:14:08.573,-0.08
2025-03-12 00:14:08.675,-0.16
2025-03-12 00:14:08.772,-0.21
2025-03-12 00:14:08.838,-0.24
2025-03-12 00:14:08.907,-0.19
2025-03-12 00:14:09.438,-0.18
2025-03-12 00:14:09.773,-0.24
2025-03-12 00:14:09.874,-0.20
2025-03-12 00:14:10.375,-0.18
2025-03-12 00:14:10.706,-0.26
2025-03-12 00:14:11.172,-0.23
2025-03-12 00:14:11.504,-0.20
2025-03-12 00:14:11.975,-0.26
2025-03-12 00:14:12.170,-0.20
2025-03-12 00:14:12.673,-0.22
2025-03-12 00:14:13.104,-0.18
2025-03-12 00:14:13.335,-0.15
2025-03-12 00:14:13.501,-0.19
2025-03-12 00:14:14.041,-0.19
2025-03-12 00:14:14.204,-0.23
2025-03-12 00:14:14.704,-0.19
2025-03-12 00:14:14.806,-0.16
2025-03-12 00:14:15.071,-0.10
2025-03-12 00:14:15.136,-0.15
2025-03-12 00:14:15.238,-0.18
2025-03-12 00:14:15.470,-0.25
2025-03-12 00:14:15.572,-0.20
2025-03-12 00:14:16.003,-0.26
2025-03-12 00:14:16.337,-0.22
2025-03-12 00:14:16.505,-0.18
2025-03-12 00:14:16.671,-0.13
2025-03-12 00:14:17.103,-0.19
2025-03-12 00:14:17.209,-0.25
2025-03-12 00:14:17.313,-0.20
2025-03-12 00:14:17.736,-0.25
2025-03-12 00:14:18.237,-0.23
2025-03-12 00:14:18.402,-0.20
2025-03-12 00:14:18.567,-0.16
2025-03-12 00:14:18.670,-0.20
2025-03-12 00:14:19.034,-0.24
2025-03-12 00:14:19.238,-0.20
2025-03-12 00:14:19.435,-0.16
2025-03-12 00:14:19.538,-0.13
2025-03-12 00:14:19.636,-0.08
2025-03-12 00:14:19.832,-0.03
2025-03-12 00:14:19.968,0.01
2025-03-12 00:14:20.500,-0.05
2025-03-12 00:14:20.998,-0.01
2025-03-12 00:14:21.535,-0.02
2025-03-12 00:14:22.034,0.05
2025-03-12 00:14:22.099,0.13
2025-03-12 00:14:22.169,0.22
2025-03-12 00:14:22.372,0.19
2025-03-12 00:14:22.472,0.06
2025-03-12 00:14:22.570,-0.04
2025-03-12 00:14:22.669,-0.15
2025-03-12 00:14:22.866,-0.22
2025-03-12 00:14:22.968,-0.18
2025-03-12 00:14:23.134,-0.11
2025-03-12 00:14:23.199,-0.06
2025-03-12 00:14:23.301,0.08
2025-03-12 00:14:23.365,0.20
2025-03-12 00:14:23.435,0.32
2025-03-12 00:14:23.536,0.42
2025-03-12 00:14:23.633,0.50
2025-03-12 00:14:23.699,0.53
2025-03-12 00:14:23.968,0.57
2025-03-12 00:14:24.567,0.51
2025-03-12 00:14:24.632,0.45
2025-03-12 00:14:24.798,0.41
2025-03-12 00:14:24.970,0.45
2025-03-12 00:14:25.299,0.39
2025-03-12 00:14:25.499,0.36
2025-03-12 00:14:25.634,0.31
2025-03-12 00:14:25.898,0.25
2025-03-12 00:14:26.195,0.22
2025-03-12 00:14:26.262,0.18
2025-03-12 00:14:26.501,0.15
2025-03-12 00:14:26.964,0.19
2025-03-12 00:14:27.131,0.15
2025-03-12 00:14:27.298,0.12
2025-03-12 00:14:27.799,0.08
2025-03-12 00:14:27.964,0.12
2025-03-12 00:14:28.066,0.08
2025-03-12 00:14:28.567,0.08
2025-03-12 00:14:28.632,0.04
2025-03-12 00:14:28.830,0.00
2025-03-12 00:14:28.998,-0.04
2025-03-12 00:14:29.497,-0.09
2025-03-12 00:14:29.664,-0.05
2025-03-12 00:14:29.765,-0.10
2025-03-12 00:14:29.927,-0.07
2025-03-12 00:14:30.032,-0.11
2025-03-12 00:14:30.128,-0.16
2025-03-12 00:14:30.661,-0.17
2025-03-12 00:14:30.796,-0.22
2025-03-12 00:14:30.896,-0.27
2025-03-12 00:14:30.963,-0.20
2025-03-12 00:14:31.129,-0.17
2025-03-12 00:14:31.462,-0.21
2025-03-12 00:14:31.629,-0.24
2025-03-12 00:14:31.931,-0.16
2025-03-12 00:14:32.031,-0.00
2025-03-12 00:14:32.128,0.15
2025-03-12 00:14:32.195,0.28
2025-03-12 00:14:32.264,0.43
2025-03-12 00:14:32.364,0.52
2025-03-12 00:14:32.662,0.57
2025-03-12 00:14:33.094,0.50
2025-03-12 00:14:33.159,0.45
2025-03-12 00:14:33.228,0.38
2025-03-12 00:14:33.295,0.26
2025-03-12 00:14:33.361,0.21
2025-03-12 00:14:33.427,0.26
2025-03-12 00:14:33.964,0.28
2025-03-12 00:14:34.127,0.32
2025-03-12 00:14:34.428,0.28
2025-03-12 00:14:34.529,0.25
2025-03-12 00:14:34.798,0.21
2025-03-12 00:14:35.361,0.21
2025-03-12 00:14:35.662,0.26
2025-03-12 00:14:35.928,0.30
2025-03-12 00:14:36.229,0.34
2025-03-12 00:14:36.627,0.39
2025-03-12 00:14:37.128,0.40
2025-03-12 00:14:37.664,0.43
2025-03-12 00:14:37.824,0.47
2025-03-12 00:14:37.959,0.51
2025-03-12 00:14:38.229,0.55
2025-03-12 00:14:38.692,0.52
2025-03-12 00:14:39.228,0.55
2025-03-12 00:14:39.326,0.51
2025-03-12 00:14:39.497,0.39
2025-03-12 00:14:39.793,0.27
2025-03-12 00:14:39.892,0.15
2025-03-12 00:14:39.959,0.06
2025-03-12 00:14:40.125,-0.02
2025-03-12 00:14:40.191,0.03
2025-03-12 00:14:40.560,0.10
2025-03-12 00:14:40.660,0.16
2025-03-12 00:14:40.725,0.20
2025-03-12 00:14:40.990,0.23
2025-03-12 00:14:41.092,0.30
2025-03-12 00:14:41.195,0.39
2025-03-12 00:14:41.293,0.43
2025-03-12 00:14:41.360,0.50
2025-03-12 00:14:41.825,0.44
2025-03-12 00:14:42.090,0.49
2025-03-12 00:14:42.160,0.53
2025-03-12 00:14:42.257,0.56
2025-03-12 00:14:42.490,0.51
2025-03-12 00:14:42.623,0.47
2025-03-12 00:14:42.690,0.42
2025-03-12 00:14:43.222,0.48
2025-03-12 00:14:43.423,0.52
2025-03-12 00:14:43.624,0.56
2025-03-12 00:14:43.891,0.59
2025-03-12 00:14:44.425,0.61
2025-03-12 00:14:44.956,0.61
2025-03-12 00:14:45.487,0.61
2025-03-12 00:14:46.023,0.62
2025-03-12 00:14:46.555,0.62
2025-03-12 00:14:46.790,0.66
2025-03-12 00:14:46.958,0.73
2025-03-12 00:14:47.122,0.79
2025-03-12 00:14:47.190,0.83
2025-03-12 00:14:47.422,0.87
