timestamp,wrist_accel_magnitude_vs_ankle_accel_magnitude,wrist_accel_magnitude_vs_ecg_value,wrist_accel_magnitude_vs_orientation,ankle_accel_magnitude_vs_ecg_value,ankle_accel_magnitude_vs_orientation,ecg_value_vs_orientation
2025-03-12 00:15:07.200,-0.011718932289462258,-0.00391220894667741,0.011127504093245998,-0.0949249844796513,-0.0503491350415098,0.5080020552177901
2025-03-12 00:15:37.200,-0.044378890061360525,0.0010025065611854694,0.05278787479530756,-0.048742972890831834,-0.041660687486523226,0.7777827147611804
2025-03-12 00:16:07.200,-0.050005417983807726,-0.02085448975059914,-0.007649752079078486,0.012353797992675544,0.02234273051894472,0.09453307452391882
2025-03-12 00:16:37.200,-0.020182281034516258,0.00959455330759026,0.01062032873971793,-0.026528668471353396,0.02754990284248278,0.2104690853726786
2025-03-12 00:17:07.200,-0.018359455679348304,0.010650129431055382,0.005137031936770989,0.03413111402766668,0.021066390366716068,-0.12697912576811965
2025-03-12 00:17:37.200,0.13392225540433086,-0.10407912610406284,-0.03201568177266931,0.0070305308121127634,0.017640581941034534,0.11070649798324392
2025-03-12 00:18:07.200,0.44659712767314996,-0.20764747777777523,-0.05172075129992385,-4.002814838353778e-05,-0.01781888718097989,0.3005306462469993
2025-03-12 00:18:37.200,0.6904265640511648,-0.00747100665210728,0.002511253715152906,-0.00600382701207326,-0.018724663037734304,-0.17418329948181524
2025-03-12 00:19:07.200,0.18849624890698266,-0.028477176406193468,0.005501829336026562,-0.007303684588024571,-0.013096092810649773,-0.20910823192967817
2025-03-12 00:19:37.200,0.12311640374016376,-0.004098103924295835,-0.0036003251126338876,0.003709618084367282,-0.00805272054735068,-0.2676636432827457
2025-03-12 00:20:07.200,0.2987699525902741,-0.002776354403232205,0.006225238491555826,0.04096688043023542,0.013383615030129881,-0.1413124775318393
2025-03-12 00:20:37.200,0.5210527242564388,0.045829799405144374,0.005648765366651028,0.019318052533073223,0.012705813467031339,0.14523678949710492
2025-03-12 00:21:07.200,0.5504991466294882,0.04616528547689686,0.00013398048653237582,-0.0016953517902010419,0.01116242273479169,0.2880440241313474
2025-03-12 00:21:37.200,0.5328325218016502,0.008833260623134227,-0.003658301918336131,0.05911234125712975,-0.06033165437699402,-0.34059829520032375
2025-03-12 00:22:07.200,0.3384337750693101,-0.04561521392227522,-0.027704895900438172,-0.007174055731616532,-0.03996936262894987,0.5351637979298601
2025-03-12 00:22:37.200,0.45217206085577427,-0.01959888242515114,0.0037502793835188153,0.019109944630429282,-0.011037684001158763,0.3290378210620288
2025-03-12 00:23:07.200,0.8536213900518114,-0.004903805042951312,-0.006483193975282567,-0.01940290657621467,-0.011664890978979396,0.16138323630291776
2025-03-12 00:23:37.200,0.3008165894024779,0.004846439479978911,0.021356928304236904,0.029540217799028386,-0.04859239087169327,-0.5452843495581912
2025-03-12 00:24:07.200,0.2858820165452793,-0.007150807786956119,-0.020738510836528994,0.019354381644479172,-0.07002874546110889,0.20100825675393558
2025-03-12 00:24:37.200,0.4161101634066078,-0.010315128473756633,0.006273523424847025,0.040931949056507336,-0.055624173709354054,-0.3323383039951025
2025-03-12 00:25:07.200,0.7655182230538637,-0.020424636724914392,0.013656010328014064,0.039616696662846757,-0.029224007922950882,-0.7621085556188002
2025-03-12 00:25:37.200,0.340111171198323,-0.06172721390375278,0.015057205623725091,-0.008240192982651337,0.010769447001145729,-0.037736825510937363
2025-03-12 00:26:07.200,0.043353792092105846,0.011020375190843942,0.0001333141102492488,0.0027640642229550595,0.004055626708295449,-0.09127289120785374
2025-03-12 00:26:37.200,0.08645557285241527,-0.0020164823121511587,-0.016249837572866865,-0.029128871703374772,0.02054686683701767,-0.16109690004194763
2025-03-12 00:27:07.200,0.1469442207357654,-0.08181585582342811,0.0004918923358221461,-0.038382307014760975,-0.030290231253525337,0.08977605814971044
2025-03-12 00:27:37.200,-0.06610502423028874,-0.17276908143114028,0.020791471322449337,-0.004917068614481797,0.005238587735823391,-0.011879193362394251
2025-03-12 00:28:07.200,-0.41895325537120975,-0.03870327521445114,0.024123289827221037,-0.05734650021199508,0.009843066208971258,-0.20088909985434222
2025-03-12 00:28:37.200,-0.1257385372398943,-0.00012169654178226301,0.026977974394402356,-0.06708576664934593,-0.051820596667697845,0.06127437470479036
2025-03-12 00:29:07.200,-0.05830612984141273,-0.021886345287405892,0.00597633941324512,0.058841361624833936,0.06794342641455288,0.34486149468602306
2025-03-12 00:29:37.200,0.4214490276861698,-0.04055485994575759,-0.028526086912473582,-0.03316070565974583,0.0339756345205482,-0.29017901657858286
2025-03-12 00:30:07.200,0.19898256470936598,-0.02570107781224506,0.022557404287512985,-0.009004268268529387,0.013955188569260575,-0.8662427046925821
2025-03-12 00:30:37.200,0.13820590684397235,-0.05689993357091651,0.06402872225281543,-0.01081524753968317,0.013206833731622741,-0.4497802331611539
2025-03-12 00:31:07.200,-0.08445389255889417,0.08217532523875719,0.08086318317225347,0.051704342920602546,0.033232259062293844,0.0978318666058275
2025-03-12 00:31:37.200,-0.20746022575342657,-0.03830553091302693,-0.002655798084063965,0.1124444050368972,0.03966460860126549,-0.24928923642624612
2025-03-12 00:32:07.200,-0.035728662080156064,0.03536652498734677,-0.10641401453086892,0.08206983369172625,0.009770463381533964,-0.10765596654744948
