,wrist_accel_magnitude,ankle_accel_magnitude,ecg_value,orientation
wrist_accel_magnitude,1.0,0.03241171801428449,0.04988872123288627,-0.033913158995268866
ankle_accel_magnitude,0.03241171801428449,1.0,-0.35515768716694723,-0.2556388724935251
ecg_value,0.04988872123288627,-0.35515768716694723,1.0,0.3080723830012315
orientation,-0.033913158995268866,-0.2556388724935251,0.3080723830012315,1.0
